"Sr no",Date,"AWB number","Account number","Payment Type",Description,Country,Service,"Ship type",Weight,PCs,Debit,Credit,Balance
1,09-11-2016,933075,22,--,--,Poland,"DHL PK NON DOX","N-DOX kg",2,1,2,2,0
2,09-11-2016,94072983,22,--,--,Brazil,"DHL PK NON DOX","N-DOX kg",3,1,3,3,0
3,09-11-2016,542610507,22,--,--,Syria,"DHL PK NON DOX","N-DOX kg",3,1,3,3,0
4,09-11-2016,94070251,22,--,--,"Saudi Arabia","DHL PK NON DOX","N-DOX kg",3,1,3,3,0
5,09-11-2016,932726,22,--,--,Barbados,"DHL PK NON DOX","N-DOX kg",3,1,3,3,0
6,09-11-2016,938758,22,--,--,Chile,"DHL PK NON DOX","N-DOX kg",3,1,3,3,0
7,09-11-2016,837341,22,--,--,Ecuador,"DHL PK NON DOX","N-DOX kg",3,1,3,3,0
